Week,US Search Score,NY Search Score,CA Search Score,
12/23/18,25,0,80,
12/30/18,27,33,37,
1/6/19,42,21,41,
1/13/19,38,19,25,
1/20/19,50,19,67,
1/27/19,66,38,58,
2/3/19,60,52,65,
2/10/19,65,19,49,
2/17/19,53,21,59,
2/24/19,100,88,57,
3/3/19,54,37,90,
3/10/19,75,54,100,
3/17/19,43,85,77,
3/24/19,80,58,70,
3/31/19,67,100,43,
4/7/19,63,58,35,
4/14/19,73,92,38,
